,X,m1.x,bs1,bs2,LRTbs1m1,LRTbs2bs1,AccPval,PosSelPval,AccPvaladj,PosSelPvaladj,m1.y,m2,m8,m8a,LRTm2m1,LRTm8m8a,pvalm2m1,pvalm8m8a,pvalm2m1adj,pvalm8m8adj
77,KRT82,-15975.94503,-15963.87757,-15963.87757,12.067455,0,8.98E-07,1,2.67E-06,1,-13042.07323,-13042.07352,-12863.9966,-12863.9966,-0.000289,0,1,1,1,1
78,KRT83,-13526.5904,-13497.85983,-13497.85983,28.730567,0,3.45E-14,1,2.71E-13,1,-10173.24972,-10173.24972,-9986.162262,-9986.162262,0,0,1,1,1,1
79,KRT84,-19416.56768,-19393.50711,-19393.50711,23.060567,1.00E-06,1.11E-11,0.998871621,6.51E-11,1,-15337.11786,-15334.73553,-15233.46533,-15234.4154,2.382339,0.950071,0.029049493,0.168062426,0.058392415,0.278703522
80,KRT85,-13361.62719,-13356.50613,-13356.50613,5.121061,0,0.001372696,1,0.002678103,1,-10546.88192,-10546.36871,-10437.10243,-10437.10243,0.513213,0,0.310999578,1,0.583857699,1
81,KRT86,-13025.39025,-13006.10878,-13006.10878,19.281471,0,5.30E-10,1,2.40E-09,1,-9861.184985,-9861.184985,-9728.149045,-9728.149045,0,0,1,1,1,1
82,KRT9,-18463.09044,-18453.31617,-18452.88145,9.774272,0.434716,9.81E-06,0.351112603,2.57E-05,1,-16758.07198,-16714.56593,-16702.17807,-16748.87222,43.506043,46.694143,1.08E-20,4.30E-22,1.95E-19,1.71E-20
84,KRTAP1-3,-5194.460164,-5192.206972,-5192.194604,2.253192,0.012368,0.033768558,0.875026683,0.053511377,1,-4176.469195,-4168.963008,-4146.439419,-4155.735759,7.506187,9.29634,0.000106809,1.62E-05,0.000295207,6.49E-05
85,KRTAP1-4,-3913.890792,-3913.360789,-3913.360789,0.530003,0,0.303213816,1,0.37477981,1,-3139.508673,-3127.063787,-3122.456663,-3131.896651,12.444886,9.439988,6.07E-07,1.39E-05,2.88E-06,5.90E-05
86,KRTAP1-5,-5366.708897,-5364.14625,-5363.654802,2.562647,0.491448,0.023579576,0.321484875,0.038779633,1,-4150.81912,-4141.769721,-4140.554319,-4145.240184,9.049399,4.685865,2.10E-05,0.002203575,6.73E-05,0.005104469
87,KRTAP10-1,-8846.14212,-8845.887113,-8845.886907,0.255007,0.000206,0.475132796,0.983805824,0.556184861,1,-6251.172786,-6241.767487,-6233.056998,-6240.036731,9.405299,6.979733,1.44E-05,0.000186795,4.71E-05,0.000523551
88,KRTAP10-10,-8011.080868,-8010.13124,-8010.13124,0.949628,0,0.16816162,1,0.218720015,1,-6394.903846,-6389.138638,-6376.404815,-6381.090818,5.765208,4.686003,0.000684667,0.002203243,0.001584287,0.005104469
89,KRTAP10-11,-7219.416777,-7216.291642,-7216.291642,3.125135,0,0.012417438,1,0.021120257,1,-5434.345259,-5426.494776,-5418.6877,-5426.322758,7.850483,7.635058,7.42E-05,9.32E-05,0.000217104,0.000285271
90,KRTAP10-12,-8008.212545,-8007.952438,-8007.952425,0.260107,1.30E-05,0.47075041,0.995931589,0.555515764,1,-5793.309007,-5781.522373,-5772.732861,-5782.269605,11.786634,9.536744,1.20E-06,1.26E-05,5.09E-06,5.56E-05
92,KRTAP10-3,-8273.308309,-8272.615153,-8272.615153,0.693156,0,0.239028903,1,0.299161961,1,-6054.03601,-6037.833692,-6025.057397,-6031.273571,16.202318,6.216174,1.25E-08,0.000421961,7.12E-08,0.001104872
93,KRTAP10-4,-8940.745932,-8940.286585,-8940.286585,0.459347,0,0.337818119,1,0.409913449,1,-6703.605281,-6686.908576,-6681.69567,-6694.344179,16.696705,12.648509,7.53E-09,4.91E-07,4.68E-08,3.06E-06
95,KRTAP10-6,-9736.75618,-9735.41676,-9735.41676,1.33942,0,0.101689777,1,0.136731525,1,-7626.030646,-7609.63633,-7590.603024,-7604.773448,16.394316,14.170424,1.03E-08,1.02E-07,6.01E-08,7.60E-07
98,KRTAP10-9,-9696.088106,-9692.983037,-9692.983037,3.105069,0,0.012702073,1,0.021421292,1,-7099.246326,-7084.202119,-7068.146071,-7080.369268,15.044207,12.223197,4.13E-08,7.64E-07,2.16E-07,4.22E-06
99,KRTAP11-1,-5385.963875,-5385.268832,-5385.268832,0.695043,0,0.238390577,1,0.299161961,1,-4340.824381,-4340.824405,-4335.50431,-4338.426929,-2.40E-05,2.922619,1,0.015619261,1,0.029886856
100,KRTAP12-1,-3084.893822,-3084.634908,-3084.634908,0.258914,0,0.471769669,1,0.555515764,1,-2487.724284,-2481.878175,-2479.160306,-2482.463846,5.846109,3.30354,0.00062762,0.010157408,0.001486863,0.020635768
101,KRTAP12-2,-4422.048087,-4421.817079,-4421.817079,0.231008,0,0.496683297,1,0.578011556,1,-3413.488413,-3406.154276,-3402.579196,-3410.66745,7.334137,8.088254,0.000128186,5.77E-05,0.000344716,0.000185215
102,KRTAP12-3,-3497.679196,-3488.93831,-3488.934685,8.740886,0.003625,2.90E-05,0.93214458,7.22E-05,1,-2602.924311,-2592.923992,-2582.607073,-2592.270074,10.000319,9.663001,7.74E-06,1.10E-05,2.61E-05,4.98E-05
103,KRTAP12-4,-2762.557079,-2762.55708,-2762.557079,-1.00E-06,1.00E-06,1,0.998871621,1,1,-2330.115261,-2326.330647,-2326.342996,-2330.196177,3.784614,3.853181,0.005937321,0.005502654,0.012842683,0.011649235
104,KRTAP13-1,-8866.64186,-8863.250785,-8863.097511,3.391075,0.153274,0.009207392,0.579806236,0.016214788,1,-6712.175811,-6692.344108,-6691.664147,-6709.762677,19.831703,18.09853,3.02E-10,1.78E-09,2.40E-09,1.69E-08
106,KRTAP13-3,-8011.062495,-8010.602142,-8010.026789,0.460353,0.575353,0.337289668,0.283401408,0.409913449,1,-6084.806752,-6051.923519,-6052.054056,-6081.597593,32.883233,29.543537,5.08E-16,1.51E-14,6.73E-15,3.00E-13
109,KRTAP16-1,-18967.31174,-18950.59527,-18949.91619,16.716465,0.679076,7.38E-09,0.243858013,3.06E-08,1,-15770.44877,-15766.33489,-15732.30045,-15740.96249,4.113884,8.662043,0.004125424,3.15E-05,0.009021531,0.00011456
110,KRTAP17-1,-2704.865912,-2703.362,-2702.747174,1.503912,0.614826,0.082863461,0.267474726,0.117784491,1,-2088.938897,-2078.842888,-2076.773636,-2085.888874,10.096009,9.115238,7.00E-06,1.96E-05,2.45E-05,7.49E-05
119,KRTAP2-1,-3588.115306,-3585.742837,-3585.742837,2.372469,0,0.029384612,1,0.047157564,1,-2850.101579,-2850.101579,-2827.167215,-2827.167215,0,0,1,1,1,1
120,KRTAP2-2,-3383.750734,-3379.681808,-3379.681808,4.068926,0,0.004335061,1,0.007771866,1,-2654.409627,-2654.409627,-2633.571786,-2633.571786,0,0,1,1,1,1
121,KRTAP2-3,-3556.146533,-3553.379456,-3553.379456,2.767077,0,0.018648779,1,0.030925893,1,-2707.074911,-2707.074911,-2679.247879,-2679.904011,0,0.656132,1,0.251985155,1,0.401160366
122,KRTAP2-4,-3384.058036,-3376.489624,-3376.489624,7.568412,0,1.00E-04,1,0.000239744,1,-2556.438974,-2556.438974,-2523.623856,-2523.796428,0,0.172572,1,0.55687495,1,0.827000859
124,KRTAP20-2,-2360.764351,-2360.673594,-2360.311738,0.090757,0.361856,0.670075348,0.394928999,0.738714681,1,-1638.414056,-1620.664758,-1620.256538,-1638.39011,17.749298,18.133572,2.55E-09,1.72E-09,1.75E-08,1.69E-08
125,KRTAP20-3,-2002.315084,-2002.315084,-2002.315084,0,0,1,1,1,1,-1666.936741,-1664.20899,-1664.20899,-1666.937191,2.727751,2.728201,0.019506799,0.019496753,0.040019102,0.036260317
126,KRTAP21-1,-3146.315739,-3146.11322,-3146.101393,0.202519,0.011827,0.524498826,0.877768562,0.606832944,1,-2347.245896,-2344.928159,-2344.681113,-2347.268684,2.317737,2.587571,0.031317492,0.022912299,0.062321809,0.041830711
127,KRTAP21-2,-2832.534024,-2832.534037,-2832.534024,-1.30E-05,1.30E-05,1,0.995931589,1,1,-2020.0853,-2012.422918,-2012.36,-2020.103098,7.662382,7.743098,9.05E-05,8.31E-05,0.000257341,0.000262522
131,KRTAP23-1,-3076.699951,-3076.577519,-3076.57561,0.122432,0.001909,0.620714939,0.950730094,0.693945354,1,-2359.001745,-2348.076629,-2348.371412,-2359.036838,10.925116,10.665426,2.95E-06,3.86E-06,1.09E-05,1.88E-05
134,KRTAP26-1,-9308.544328,-9308.168366,-9308.168366,0.375962,0,0.385867764,1,0.462576416,1,-7522.42458,-7514.836074,-7511.991036,-7518.262771,7.588506,6.271735,9.79E-05,0.000397593,0.000274362,0.001054947
137,KRTAP3-1,-2827.297073,-2825.828398,-2825.828398,1.468675,0,0.086552624,1,0.122155831,1,-2315.95056,-2313.086307,-2300.819971,-2304.074901,2.864253,3.25493,0.016691677,0.010727795,0.034600456,0.021348313
138,KRTAP3-2,-3005.404664,-2986.892817,-2986.892817,18.511847,0,1.17E-09,1,5.05E-09,1,-2189.316693,-2187.610347,-2186.296298,-2188.115293,1.706346,1.818995,0.064696824,0.056475077,0.126222234,0.099456109
139,KRTAP3-3,-2751.49038,-2744.301631,-2744.301631,7.188749,0,0.000149579,1,0.000350191,1,-2091.264269,-2091.264269,-2088.679912,-2089.215079,0,0.535167,1,0.300870015,1,0.467758852
141,KRTAP4-11,-7073.944682,-7073.943895,-7073.943892,0.000787,3.00E-06,0.968353294,0.998045592,1,1,-5537.478927,-5483.221945,-5453.231413,-5473.637294,54.256982,20.405881,2.07E-25,1.68E-10,8.25E-24,2.08E-09
142,KRTAP4-12,-6674.414053,-6674.249727,-6674.249727,0.164326,0,0.566453919,1,0.641002961,1,-5136.97335,-5113.23916,-5085.25581,-5090.098915,23.73419,4.843105,5.59E-12,0.001856561,5.30E-11,0.004451272
145,KRTAP4-4,-4325.757236,-4321.063965,-4321.063965,4.693271,0,0.002185841,1,0.00422313,1,-3120.873609,-3110.530819,-3078.14394,-3078.842916,10.34279,0.698976,5.41E-06,0.237066774,1.96E-05,0.383547057
147,KRTAP4-6,-7156.585094,-7144.463942,-7144.463942,12.121152,0,8.49E-07,1,2.56E-06,1,-5370.067479,-5333.340239,-5292.44246,-5304.716382,36.72724,12.273922,1.03E-17,7.25E-07,1.71E-16,4.12E-06
148,KRTAP4-7,-5899.848337,-5894.421309,-5894.421309,5.427028,0,0.000985796,1,0.00198155,1,-4614.20302,-4526.732776,-4522.242761,-4575.484077,87.470244,53.241316,6.17E-40,5.78E-25,1.23E-37,3.83E-23
149,KRTAP4-8,-6102.987774,-6089.740691,-6089.016735,13.247083,0.723956,2.64E-07,0.228863285,8.92E-07,1,-5083.587733,-5023.259398,-5015.672405,-5042.866528,60.328335,27.194123,4.54E-28,1.65E-13,3.01E-26,2.34E-12
150,KRTAP4-9,-6529.949884,-6527.401519,-6527.401519,2.548365,0,0.023970992,1,0.039100225,1,-4949.651441,-4901.660772,-4889.77332,-4919.701423,47.990669,29.928103,1.16E-22,1.02E-14,2.88E-21,2.26E-13
160,KRTAP7-1,-2672.794845,-2658.24108,-2658.24108,14.553765,0,6.85E-08,1,2.48E-07,1,-2025.824286,-2025.824286,-2015.876838,-2017.172391,0,1.295553,1,0.107465271,1,0.182782811
161,KRTAP8-1,-2160.088787,-2143.819066,-2143.195772,16.269721,0.623294,1.17E-08,0.264205153,4.56E-08,1,-1531.069413,-1531.069413,-1527.565554,-1527.565554,0,0,1,1,1,1
162,KRTAP9-1,-7606.314473,-7601.043137,-7601.043137,5.271336,0,0.001166497,1,0.002298345,1,-6023.19253,-6011.992674,-6005.749207,-6014.768748,11.199856,9.019541,2.21E-06,2.16E-05,8.64E-06,8.13E-05
169,KRTAP9-9,-3724.388104,-3723.909404,-3723.909404,0.4787,0,0.327842816,1,0.402720497,1,-2422.397113,-2410.513915,-2412.987504,-2422.425854,11.883198,9.43835,1.09E-06,1.39E-05,4.81E-06,5.90E-05
170,MOB1B,-3314.209553,-3307.841362,-3307.841362,6.368191,0,0.000358611,1,0.00078725,1,-2791.337131,-2791.336374,-2791.385576,-2791.385576,0.000757,0,0.968962022,1,1,1
171,MYBPC1,-29601.10858,-29572.40517,-29572.40517,28.703411,4.00E-06,3.54E-14,0.997743245,2.71E-13,1,-23450.8021,-23440.73981,-23276.16865,-23285.5749,10.062284,9.406253,7.26E-06,1.44E-05,2.49E-05,5.98E-05
172,MYH1,-41583.89933,-41467.03847,-41467.03847,116.860865,0,9.20E-53,1,6.10E-51,1,-30609.89388,-30609.89443,-30512.68337,-30515.98648,-0.000551,3.303108,1,0.010162338,1,0.020635768
173,MYH13,-47821.41845,-47619.2126,-47619.2126,202.205845,0,6.03E-90,1,6.00E-88,1,-36892.72829,-36892.72829,-36689.87214,-36689.87214,0,0,1,1,1,1
174,MYH4,-43799.04078,-43689.40603,-43689.40612,109.634752,-9.70E-05,1.31E-49,1,6.49E-48,1,-33259.9942,-33260.03196,-33168.2991,-33168.2991,-0.037764,0,1,1,1,1
175,MYO6,-25269.12319,-25264.52289,-25264.52289,4.600306,0,0.002419342,1,0.004629318,1,-20925.32189,-20925.32202,-20861.03369,-20861.03369,-0.000121,0,1,1,1,1
176,PFKL,-17590.1739,-17577.00006,-17577.00006,13.173833,0,2.85E-07,1,9.46E-07,1,-14324.48632,-14324.48632,-14118.96831,-14114.64807,0,-4.320238,1,1,1,1
177,PFN1,-1888.738174,-1883.408255,-1883.374164,5.329919,0.034091,0.00109487,0.794002412,0.002178791,1,-1373.912829,-1373.912829,-1373.140327,-1373.158347,0,0.01802,1,0.849432912,1,1
178,PKP1,-16990.98399,-16970.36985,-16970.36985,20.614139,0,1.35E-10,1,6.42E-10,1,-13043.79498,-13043.79506,-12917.96955,-12917.96955,-7.90E-05,0,1,1,1,1
179,PKP3,-19508.54225,-19504.83757,-19504.83758,3.704675,-9.00E-06,0.006488576,1,0.01152881,1,-15740.77771,-15740.77772,-15614.85329,-15614.85329,-9.00E-06,0,1,1,1,1
180,PLS1,-13247.9882,-13232.89977,-13232.89977,15.088436,0,3.94E-08,1,1.45E-07,1,-10943.69327,-10943.69327,-10912.67702,-10912.67702,0,0,1,1,1,1
181,PORCN,-7695.973474,-7694.100688,-7694.100688,1.872786,0,0.052947602,1,0.079822521,1,-6239.918587,-6239.918893,-6224.41657,-6225.749823,-0.000306,1.333253,1,0.102480782,1,0.175807548
182,PTPRM,-32592.62687,-32547.84478,-32547.84486,44.782095,-8.00E-05,2.97E-21,1,3.69E-20,1,-26052.55017,-26052.55017,-25945.78116,-25945.1936,0,-0.587563,1,1,1,1
183,RBM22,-7582.097864,-7582.096889,-7582.096893,0.000975,-4.00E-06,0.964777819,1,1,1,-6229.56848,-6229.564709,-6226.063771,-6226.063638,0.003771,-0.000133,0.930794965,1,1,1
184,RBM8A,-3705.856166,-3665.022238,-3665.022238,40.833928,0,1.61E-19,1,1.69E-18,1,-2876.294252,-2876.292783,-2876.069954,-2876.069731,0.001469,-0.000223,0.956773175,1,1,1
185,SDHAP1,-2613.392562,-2608.993355,-2608.993355,4.399207,0,0.003014925,1,0.005660096,1,-1890.50149,-1890.50149,-1874.527854,-1874.527114,0,-0.00074,1,1,1,1
186,SLC2A4,-11966.43194,-11947.17652,-11947.17652,19.25542,0,5.45E-10,1,2.41E-09,1,-9853.994965,-9853.994965,-9814.204347,-9814.204347,0,0,1,1,1,1
187,SPTSSA,-1063.408574,-1063.408574,-1063.408574,0,0,1,1,1,1,-815.931862,-815.931862,-818.384659,-818.384659,0,0,1,1,1,1
188,TGM3,-25780.78795,-25727.82509,-25727.82509,52.962854,0,7.66E-25,1,1.69E-23,1,-20955.48553,-20932.4349,-20789.61754,-20802.52418,23.050628,12.906648,1.12E-11,3.76E-07,1.02E-10,2.41E-06
189,TMC1,-15342.18851,-15335.22077,-15335.22077,6.967736,0,0.000189194,1,0.000432754,1,-12601.28624,-12601.28625,-12557.62059,-12557.62059,-6.00E-06,-1.00E-06,1,1,1,1
190,TMEM27,-6333.121005,-6327.16486,-6327.16486,5.956145,0,0.000557648,1,0.001191349,1,-4983.279787,-4983.279787,-4968.330521,-4970.902277,0,2.571756,1,0.023333399,1,0.042212241
191,TPP2,-27227.67032,-27203.51768,-27203.51768,24.152635,0,3.65E-12,1,2.27E-11,1,-22274.21562,-22274.21562,-22176.1778,-22162.38128,0,-13.796521,1,1,1,1
192,TRPV3,-19175.13175,-19148.17228,-19148.17228,26.959464,0,2.09E-13,1,1.48E-12,1,-15149.28495,-15149.28502,-15039.8555,-15029.90748,-7.10E-05,-9.948021,1,1,1,1
193,TSPAN5,-3896.885432,-3895.292898,-3895.292898,1.592534,0,0.074313905,1,0.10639185,1,-3307.216232,-3306.62752,-3306.686248,-3307.274625,0.588712,0.588377,0.277881043,0.278017809,0.526650738,0.439091618
194,TTN,-830667.9395,-828005.3063,-828005.3063,2662.633113,0,0,1,0,1,-672690.2718,-672662.3879,-669858.2322,-669865.644,27.883945,7.411869,8.16E-14,0.00011804,9.02E-13,0.000355909
195,UBL3,-1958.474292,-1957.897672,-1958.217554,0.57662,-0.319882,0.28287193,1,0.351821963,1,-1606.381522,-1606.380393,-1604.70082,-1604.700816,0.001129,-4.00E-06,0.962100052,1,1,1
196,VAMP2,-1754.718513,-1749.235833,-1749.235833,5.48268,0,0.000928309,1,0.001885036,1,-1410.198416,-1410.19738,-1410.316062,-1410.316062,0.001036,0,0.96369345,1,1,1
197,WDR45B,-6412.538172,-6410.345904,-6410.345904,2.192268,0,0.036266362,1,0.05676457,1,-5104.057182,-5104.057182,-5092.118417,-5092.118244,0,-0.000173,1,1,1,1
198,ZDHHC13,-14707.05451,-14703.84982,-14703.84982,3.204685,0,0.011351969,1,0.019474498,1,-11976.11961,-11976.11961,-11933.99962,-11936.6432,0,2.64358,1,0.021483227,1,0.039584836
199,ZEB1,-27989.02948,-27969.50109,-27969.50109,19.528387,1.00E-06,4.12E-10,0.998871621,1.91E-09,1,-21947.58657,-21935.73829,-21850.88976,-21859.03659,11.848284,8.146824,1.13E-06,5.42E-05,4.88E-06,0.000179914
